NAME;OPENING_YEAR;ARCHITECT;HOLES;PAIRS;FACILITIES;IS_CLUB_HOUSE;IS_ACADEMY;WEBSITE;LOCAL;COUNTY;DISTRICT;LATITUDE;LONGITUDE
Campo Real;2005;Donald Steel;18;72;Driving Range, Putting Green, Chipping Green, Buggies, Trolleys, Aluguer de Tacos, Loja, Restaurante, Bar, Sauna, Centro Hípico, Futebol, Piscina, Ténis;1;1;https://www.dolcecamporeal.com/pt/golfe/;Turcifal;Torres Vedras;Lisboa;39.0327626768318;-9.2428957913326
Quinta do Vale Golf Resort;2008;Severiano Ballesteros;18;72;Driving Range, Putting Green, Chipping Green, Buggies, Trolleys, Aluguer de Tacos, Loja, Restaurante.;1;1;http://quintadovalegolf.com/;Castro Marim;Castro Marim;Faro;37.2498801577207;-7.4483306851757
Dom Pedro Victoria Golf Course;2004;Arnold Palmer;18;72;Buggy Bar, Loja de Golfe, Campo de prática, Bar / Restaurante, Putting Greens,Valet Service, Wi-Fi Gratuito;1;0;http://www.dompedrogolf.com/pt/campos/victoria-golf-course/;Quarteira;Loulé;Faro;37.1007642090212;-8.1443565710682
Guardian Bom Sucesso Golf;2008;Donald Steel;18;72;Driving Range, Putting Green, Chipping Green, Buggies, Trolleys, Caddies, Aluguer de Tacos, Loja, Restaurante, Bar, Futebol, Piscina, Ténis;1;1;http://www.guardiangolf.net/PT;Vau;Óbidos;Leiria;39.3796460033349;-9.240499491342
Quinta da Bica Academia de Golf;;Carlo Corsini;9;27;Clube Hípico, Equipamentos Desportivos, Universidade de Terceira Idade, Balneário Terapeutico com 60 quartos;1;1;www.bicaclubedegolfe.com;Gonçalo, União das freguesias de Belmonte e Colmeal da Torre;Belmonte, Guarda;Castelo Branco, Guarda;40.3979028266202;-7.3431618196631
Ribagolfe I;2004;Peter Townsend;18;72;Driving Range, Putting Green, Chipping Green, Buggies. Trolleys, Aluguer de Tacos, Loja, Restaurante, Bar ;1;1;http://www.orizontegolf.com/clube/ribagolfe/ribagolfe-i/campos;Samora Correia;Benavente;Santarém;38.8234548228291;-8.7452929953664
Santo Estevão Golfe;2004;Donald Steel;18;73;Buggies, Trolleys, Aluguer de Ferros, Restaurante, Driving Range, Putting Green, Chipping Green, Loja;1;1;www.santoestevaogolfe.com;Santo Estêvão (Benavente);Benavente;Santarém;38.911123733208;-8.7365815074144
Onyria Palmares Beach & Golf Resort;2011;Robert Trent Jones Jr.;18;72;Driving Range, Putting-Green, Chipping Green, Buggies, Trolleys, Caddies, Aluguer de Tacos, Loja, Restaurante/Bar;1;1;http://www.onyriapalmares.com/pt/Golf/Golf-The-Vision.aspx;Odiáxere, São Gonçalo de Lagos;Lagos;Faro;37.1273442628085;-8.6383644177325
Tróia Golf Championship Course;1980;Robert Trend Jones Senior;18;72;Driving Range, Putting Green, Chipping Green, Buggies, Trolleys, Aluguer de tacos, Loja, Restaurante, Bar;1;0;http://troiaresort.pt/golfe/;Carvalhal (Grândola);Grândola;Setúbal;38.478794609075;-8.892452551665
Laranjal;2009;Jorge Santana da Silva;18;72;Buggies, Chipping Green, Putting Green,Trolleys, Aluguer de Tacos, Loja, Bar;1;1;http://www.quintadolagocc.com/quinta-do-lago-laranjal;Almancil;Loulé;Faro;37.064856840986;-7.9991620148013
